24399617	/m/07s63_7	Bruce Lee: The Lost Interview	1994-11-02		30.0	{"/m/02h40lc": "English Language"}	{"/m/0d060g": "Canada"}	{"/m/02hmvc": "Short Film"}
32104837	/m/0g4zl4c	It Came Upon the Midnight Clear	1984-12-15		99.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0hqxf": "Family Film", "/m/07s9rl0": "Drama", "/m/0bwgnb": "Christmas movie", "/m/015w9s": "Television movie"}
20334086	/m/04zyc0t	Vipers	2008-09-21		89.0	{}	{"/m/09c7w0": "United States of America"}	{"/m/03npn": "Horror", "/m/015w9s": "Television movie"}
5915856	/m/0fdc85	Ivar	2003-10			{"/m/0999q": "Malayalam Language"}	{"/m/03rk0": "India"}	{"/m/0n6m8vw": "Malayalam Cinema", "/m/02kdv5l": "Action"}
31137877	/m/0gh7n22	Boadicea				{}	{}	{"/m/07s9rl0": "Drama", "/m/03hn0": "Historical drama", "/m/082gq": "War film"}
2647998	/m/07v6f3	The Human Tornado	1976		86.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/03btsm8": "Action/Adventure", "/m/0hj3l_y": "Action Comedy", "/m/01q03": "Cult", "/m/018td": "Blaxploitation", "/m/04t2t": "Martial Arts Film", "/m/01z4y": "Comedy", "/m/02kdv5l": "Action"}
21958879	/m/05p89qm	Vent'anni	1949		95.0	{"/m/02bjrlw": "Italian Language"}	{"/m/03rjj": "Italy"}	{"/m/01z4y": "Comedy"}
1254263	/m/04mhwd	Shivers	1975-10-10		89.0	{"/m/02h40lc": "English Language"}	{"/m/0d060g": "Canada"}	{"/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/02js9": "Erotica", "/m/0cq22z7": "Sci-Fi Horror", "/m/09blyk": "Psychological thriller", "/m/01q03": "Cult", "/m/06nbt": "Satire", "/m/0219x_": "Indie"}
20944359	/m/05b6cft	Adventurer's Fate	1958		88.0	{"/m/05zjd": "Portuguese Language"}	{"/m/015fr": "Brazil"}	{"/m/0hfjk": "Western"}
11353896	/m/02r8pmz	Zindagi	1976			{"/m/03k50": "Hindi Language"}	{"/m/03rk0": "India"}	{"/m/01chg": "Bollywood"}
24761154	/m/080bxrj	My Friend Ganesha	2007-07-06		190.0	{"/m/03k50": "Hindi Language"}	{"/m/03rk0": "India"}	{"/m/03q4nz": "World cinema"}
27374355	/m/0by1_ff	Les Indiens sont encore loin			95.0	{}	{"/m/0f8l9c": "France", "/m/06mzp": "Switzerland"}	{"/m/07s9rl0": "Drama"}
31304361	/m/0gj93w4	The Tango Player	1991-02-28		96.0	{"/m/04306rv": "German Language"}	{"/m/0345h": "Germany"}	{"/m/07s9rl0": "Drama"}
273431	/m/01p0lg	Terrorama	2001		103.0	{"/m/02bv9": "Dutch Language"}	{"/m/059j2": "Netherlands"}	{"/m/07s9rl0": "Drama", "/m/01z4y": "Comedy"}
16686643	/m/03ymtlq	One Small Step: The Story of the Space Chimps	1995		60.0	{}	{"/m/09c7w0": "United States of America"}	{"/m/0jtdp": "Documentary"}
7364373	/m/0kv612	The Covered Wagon	1923	3500000	23.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/02hmvc": "Short Film", "/m/0253g1": "Epic Western", "/m/0hfjk": "Western", "/m/06ppq": "Silent film", "/m/0219x_": "Indie"}
31026308	/m/0crvlhb	Sombra Verde	1954		85.0	{"/m/06nm1": "Spanish Language"}	{"/m/0b90_r": "Mexico"}	{"/m/03btsm8": "Action/Adventure", "/m/01jfsb": "Thriller", "/m/07s9rl0": "Drama", "/m/03k9fj": "Adventure", "/m/03q4nz": "World cinema"}
11996174	/m/02vlbrf	Aaj Ka Andha Kanoon	2003-06-10		130.0	{"/m/03k50": "Hindi Language"}	{"/m/03rk0": "India"}	{"/m/0lsxr": "Crime Fiction", "/m/0gw5w78": "Gangster Film", "/m/02kdv5l": "Action", "/m/07s9rl0": "Drama", "/m/03q4nz": "World cinema"}
7028314	/m/0h10pz	The Little Hut	1957-05-03	3600000	90.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/06cvj": "Romantic comedy", "/m/02l7c8": "Romance Film", "/m/01z4y": "Comedy"}
31156641	/m/0gh8wn7	Nariman	2001			{}	{}	{"/m/0lsxr": "Crime Fiction", "/m/02kdv5l": "Action", "/m/07s9rl0": "Drama"}
32224700	/m/0gy0wck	A Romance of Wastdale	1921			{}	{}	{"/m/02l7c8": "Romance Film", "/m/03k9fj": "Adventure"}
19929835	/m/04q6md9	Aftershock: Beyond the Civil War	2007			{}	{"/m/09c7w0": "United States of America"}	{"/m/0jtdp": "Documentary"}
25413122	/m/04j1nd9	Drums in the Deep South	1951		87.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/03btsm8": "Action/Adventure", "/m/0hfjk": "Western", "/m/082gq": "War film"}
